idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;00;Генерички програми и квалификације;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;01;Образовање;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;02;Уметности и хуманистичке науке;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;03;Друштвене науке, новинарство и информисање;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;04;Пословање, администрација и право;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;05;Природне науке, математика и статистика;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;06;Информационе и комуникационе технологије (ИКТ);
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;07;Инжењерство, производња и грађевинарство;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;09;Здравство и социјална помоћ;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;10;Услуге;
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;0;Укупно;195256
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;00;Генерички програми и квалификације;0
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;01;Образовање;12657
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;02;Уметности и хуманистичке науке;21392
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;03;Друштвене науке, новинарство и информисање;23992
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;04;Пословање, администрација и право;37442
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;05;Природне науке, математика и статистика;12948
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;06;Информационе и комуникационе технологије (ИКТ);18744
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;07;Инжењерство, производња и грађевинарство;36319
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;5759
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;09;Здравство и социјална помоћ;8400
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;10;Услуге;17603
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;0;Укупно;152869
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;00;Генерички програми и квалификације;0
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;01;Образовање;9306
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;02;Уметности и хуманистичке науке;18424
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;03;Друштвене науке, новинарство и информисање;20727
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;04;Пословање, администрација и право;26656
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;05;Природне науке, математика и статистика;10778
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;06;Информационе и комуникационе технологије (ИКТ);15060
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;07;Инжењерство, производња и грађевинарство;27094
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;4918
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;09;Здравство и социјална помоћ;6082
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2017;10;Услуге;13824
1104010103IND01;RS11;Београдски регион;00;2017;0;Укупно;109249
1104010103IND01;RS11;Београдски регион;00;2017;00;Генерички програми и квалификације;0
1104010103IND01;RS11;Београдски регион;00;2017;01;Образовање;5265
1104010103IND01;RS11;Београдски регион;00;2017;02;Уметности и хуманистичке науке;14407
1104010103IND01;RS11;Београдски регион;00;2017;03;Друштвене науке, новинарство и информисање;16488
1104010103IND01;RS11;Београдски регион;00;2017;04;Пословање, администрација и право;19444
1104010103IND01;RS11;Београдски регион;00;2017;05;Природне науке, математика и статистика;6050
1104010103IND01;RS11;Београдски регион;00;2017;06;Информационе и комуникационе технологије (ИКТ);9897
