idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;05;Природне науке, математика и статистика;76
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;06;Информационе и комуникационе технологије (ИКТ);4
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;07;Инжењерство, производња и грађевинарство;73
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;51
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;09;Здравство и социјална помоћ;68
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;10;Услуге;23
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;0;Укупно;433
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;00;Генерички програми и квалификације;0
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;01;Образовање;26
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;02;Уметности и хуманистичке науке;69
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;03;Друштвене науке, новинарство и информисање;28
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;04;Пословање, администрација и право;77
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;05;Природне науке, математика и статистика;57
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;06;Информационе и комуникационе технологије (ИКТ);2
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;07;Инжењерство, производња и грађевинарство;49
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;48
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;09;Здравство и социјална помоћ;62
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2017;10;Услуге;15
1104020402IND01;RS11;Београдски регион;00;2017;0;Укупно;388
1104020402IND01;RS11;Београдски регион;00;2017;00;Генерички програми и квалификације;0
1104020402IND01;RS11;Београдски регион;00;2017;01;Образовање;21
1104020402IND01;RS11;Београдски регион;00;2017;02;Уметности и хуманистичке науке;67
1104020402IND01;RS11;Београдски регион;00;2017;03;Друштвене науке, новинарство и информисање;27
1104020402IND01;RS11;Београдски регион;00;2017;04;Пословање, администрација и право;50
1104020402IND01;RS11;Београдски регион;00;2017;05;Природне науке, математика и статистика;57
1104020402IND01;RS11;Београдски регион;00;2017;06;Информационе и комуникационе технологије (ИКТ);0
1104020402IND01;RS11;Београдски регион;00;2017;07;Инжењерство, производња и грађевинарство;41
1104020402IND01;RS11;Београдски регион;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;48
1104020402IND01;RS11;Београдски регион;00;2017;09;Здравство и социјална помоћ;62
1104020402IND01;RS11;Београдски регион;00;2017;10;Услуге;15
1104020402IND01;RS12;Регион Војводине;00;2017;0;Укупно;45
1104020402IND01;RS12;Регион Војводине;00;2017;00;Генерички програми и квалификације;0
1104020402IND01;RS12;Регион Војводине;00;2017;01;Образовање;5
1104020402IND01;RS12;Регион Војводине;00;2017;02;Уметности и хуманистичке науке;2
1104020402IND01;RS12;Регион Војводине;00;2017;03;Друштвене науке, новинарство и информисање;1
1104020402IND01;RS12;Регион Војводине;00;2017;04;Пословање, администрација и право;27
1104020402IND01;RS12;Регион Војводине;00;2017;05;Природне науке, математика и статистика;0
1104020402IND01;RS12;Регион Војводине;00;2017;06;Информационе и комуникационе технологије (ИКТ);2
1104020402IND01;RS12;Регион Војводине;00;2017;07;Инжењерство, производња и грађевинарство;8
1104020402IND01;RS12;Регион Војводине;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;0
1104020402IND01;RS12;Регион Војводине;00;2017;09;Здравство и социјална помоћ;0
1104020402IND01;RS12;Регион Војводине;00;2017;10;Услуге;0
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;0;Укупно;212
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;00;Генерички програми и квалификације;0
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;01;Образовање;6
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;02;Уметности и хуманистичке науке;13
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;03;Друштвене науке, новинарство и информисање;21
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;04;Пословање, администрација и право;110
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;05;Природне науке, математика и статистика;19
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;06;Информационе и комуникационе технологије (ИКТ);2
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;07;Инжењерство, производња и грађевинарство;24
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;08;Пољопривреда, шумарство, рибарство и ветерина;3
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;09;Здравство и социјална помоћ;6
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2017;10;Услуге;8
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;0;Укупно;103
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;00;Генерички програми и квалификације;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;01;Образовање;6
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;02;Уметности и хуманистичке науке;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;03;Друштвене науке, новинарство и информисање;14
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;04;Пословање, администрација и право;57
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;05;Природне науке, математика и статистика;3
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;06;Информационе и комуникационе технологије (ИКТ);1
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2017;07;Инжењерство, производња и грађевинарство;13
