idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost
11040101IND01;RS12;Регион Војводине;00;2015;0;Укупно;44410
11040101IND01;RS12;Регион Војводине;00;2015;1;Мушко;20529
11040101IND01;RS12;Регион Војводине;00;2015;2;Женско;23881
11040101IND01;RS12;Регион Војводине;00;2016;0;Укупно;44936
11040101IND01;RS12;Регион Војводине;00;2016;1;Мушко;20776
11040101IND01;RS12;Регион Војводине;00;2016;2;Женско;24160
11040101IND01;RS12;Регион Војводине;00;2013;0;Укупно;42552
11040101IND01;RS12;Регион Војводине;00;2013;1;Мушко;19400
11040101IND01;RS12;Регион Војводине;00;2013;2;Женско;23152
11040101IND01;RS12;Регион Војводине;00;2014;0;Укупно;40851
11040101IND01;RS12;Регион Војводине;00;2014;1;Мушко;18720
11040101IND01;RS12;Регион Војводине;00;2014;2;Женско;22131
11040101IND01;RS12;Регион Војводине;00;2011;0;Укупно;44179
11040101IND01;RS12;Регион Војводине;00;2011;1;Мушко;19956
11040101IND01;RS12;Регион Војводине;00;2011;2;Женско;24223
11040101IND01;RS12;Регион Војводине;00;2012;0;Укупно;44314
11040101IND01;RS12;Регион Војводине;00;2012;1;Мушко;20096
11040101IND01;RS12;Регион Војводине;00;2012;2;Женско;24218
11040101IND01;RS12;Регион Војводине;00;2009;0;Укупно;53130
11040101IND01;RS12;Регион Војводине;00;2009;1;Мушко;23734
11040101IND01;RS12;Регион Војводине;00;2009;2;Женско;29396
11040101IND01;RS12;Регион Војводине;00;2010;0;Укупно;43806
11040101IND01;RS12;Регион Војводине;00;2010;1;Мушко;19834
11040101IND01;RS12;Регион Војводине;00;2010;2;Женско;23972
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2007;0;Укупно;34063
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2007;1;Мушко;16192
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2007;2;Женско;17871
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2008;0;Укупно;39829
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2008;1;Мушко;18569
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2008;2;Женско;21260
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2017;0;Укупно;42387
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2017;1;Мушко;18557
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2017;2;Женско;23830
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2015;0;Укупно;45569
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2015;1;Мушко;20631
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2015;2;Женско;24938
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2016;0;Укупно;44920
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2016;1;Мушко;19901
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2016;2;Женско;25019
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2013;0;Укупно;48385
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2013;1;Мушко;21718
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2013;2;Женско;26667
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2014;0;Укупно;48224
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2014;1;Мушко;21643
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2014;2;Женско;26581
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2011;0;Укупно;46613
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2011;1;Мушко;20342
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2011;2;Женско;26271
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2012;0;Укупно;48109
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2012;1;Мушко;21097
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2012;2;Женско;27012
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2009;0;Укупно;41718
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2009;1;Мушко;18832
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2009;2;Женско;22886
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2010;0;Укупно;45032
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2010;1;Мушко;20182
11040101IND01;RS2;СРБИЈА – ЈУГ;00;2010;2;Женско;24850
11040101IND01;RS21;Регион Шумадије и Западне Србије;00;2007;0;Укупно;19414
